file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,class,2,11,9,2,15,1,0,8,20,0.7222222,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,4,0,1,39,7,0,3,0,0,4,1,4,2,4,1,0,0,0,58,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\Main.java,com.GoodDemo.Main,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\OrderItem.java,com.GoodDemo.model.OrderItem,class,0,3,3,0,9,1,0,1,0,0.4666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,25,4,0,1,0,0,3,2,3,1,3,1,0,0,0,33,17,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\app\Application.java,com.GoodDemo.app.Application,class,9,10,1,9,2,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,0,0,0,5,5,5,0,5,0,0,0,0,28,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\service\impl\DefaultPriceCalculator.java,com.GoodDemo.service.impl.DefaultPriceCalculator,class,2,3,1,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,2,2,0,0,0,0,25,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\service\OrderValidator.java,com.GoodDemo.service.OrderValidator,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\repo\InMemoryOrderRepository.java,com.GoodDemo.repo.InMemoryOrderRepository,class,2,3,1,2,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\service\PriceCalculator.java,com.GoodDemo.service.PriceCalculator,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\repo\OrderRepository.java,com.GoodDemo.repo.OrderRepository,interface,1,4,3,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\service\OrderService.java,com.GoodDemo.service.OrderService,class,4,5,1,4,3,1,0,5,0,0.22222222,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,19,1,0,0,0,0,1,0,4,0,4,0,0,0,0,24,1,0
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\service\impl\SimpleOrderValidator.java,com.GoodDemo.service.impl.SimpleOrderValidator,class,3,4,1,3,8,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,0,5,2,0,0,0,2,0,0,0,32,1,0
