file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,taxRate/0,false,52,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,id/0,false,50,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,"Order/3[java.lang.String,java.lang.String,double]",true,19,0,1,1,0,6,1,8,0,0,3,1,0,0,0,2,0,0,3,1,3,0,1,0,0,0,12,1,0,false
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,subtotal/0,false,35,0,4,4,0,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,items/0,false,53,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,customer/0,false,51,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,addItem/1[com.GoodDemo.model.OrderItem],false,29,1,1,1,0,2,1,4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,16,1,0,true
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,tax/0,false,40,1,3,2,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,true
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\model\Order.java,com.GoodDemo.model.Order,total/0,false,45,1,3,1,2,1,2,3,1,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,true
C:\Users\Fernando Gamaliel\IdeaProjects\EjemploPracticoAcoplamientoCohesion\src\main\java\com\GoodDemo\Main.java,com.GoodDemo.Main,main/1[java.lang.String[]],false,9,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
